data.programNumber,value_assistanceUsage
10.860,Energy
10.860,"Environment (water, air, solid waste, pesticides, radiation)"
10.860,Food and Nutrition
10.860,Health/Medical
10.860,Regional Development
10.860,Science and Technology
10.874,Health/Medical
10.761,"Environment (water, air, solid waste, pesticides, radiation)"
10.761,Agriculture/Forestry/Fish and Game
10.761,Training
10.864,"Environment (water, air, solid waste, pesticides, radiation)"
10.864,"Natural Resources (mineral, water, wildlife, land)"
81.250,Energy
81.250,"Environment (water, air, solid waste, pesticides, radiation)"
21.031,Business/Commerce
21.031,Economic Development
93.346,Health/Medical
93.345,Health/Medical
93.355,Health/Medical
93.355,Higher Education (includes Research)
93.355,Training
93.347,Health/Medical
66.044,"Environment (water, air, solid waste, pesticides, radiation)"
21.030,No Functional Application/Unlimited Application
95.010,No Functional Application/Unlimited Application
10.903,Libraries/lnformation/Statistics
10.903,"Natural Resources (mineral, water, wildlife, land)"
95.007,Higher Education (includes Research)
95.006,"Law, Justice, and Legal Services"
95.001,"Law, Justice, and Legal Services"
97.062,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.108,Higher Education (includes Research)
97.108,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.077,Higher Education (includes Research)
97.077,Science and Technology
10.560,Food and Nutrition
93.380,Health/Medical
77.007,Higher Education (includes Research)
93.276,"Law, Justice, and Legal Services"
93.276,Youth Development
93.225,Health/Medical
93.225,Training
93.431,Health/Medical
96.009,Health/Medical
96.009,Income Security/Social Service/Welfare
17.002,Libraries/lnformation/Statistics
14.880,Housing
10.676,Agriculture/Forestry/Fish and Game
10.719,Agriculture/Forestry/Fish and Game
10.533,No Functional Application/Unlimited Application
10.727,Agriculture/Forestry/Fish and Game
10.727,"Environment (water, air, solid waste, pesticides, radiation)"
10.727,"Natural Resources (mineral, water, wildlife, land)"
10.675,Agriculture/Forestry/Fish and Game
10.726,Economic Development
10.664,Agriculture/Forestry/Fish and Game
10.664,"Natural Resources (mineral, water, wildlife, land)"
10.156,Agriculture/Forestry/Fish and Game
10.170,Agriculture/Forestry/Fish and Game
10.679,Agriculture/Forestry/Fish and Game
14.228,Economic Development
14.228,Community Development (includes Federal surplus property)
10.674,Agriculture/Forestry/Fish and Game
10.698,Agriculture/Forestry/Fish and Game
93.600,Income Security/Social Service/Welfare
93.356,Construction/Renewal/Rehabilitation
10.723,Agriculture/Forestry/Fish and Game
10.734,Agriculture/Forestry/Fish and Game
14.225,Economic Development
14.225,Community Development (includes Federal surplus property)
10.697,Agriculture/Forestry/Fish and Game
10.406,Agriculture/Forestry/Fish and Game
10.689,Agriculture/Forestry/Fish and Game
10.728,Agriculture/Forestry/Fish and Game
10.728,Business/Commerce
10.728,Economic Development
10.728,"Natural Resources (mineral, water, wildlife, land)"
10.721,Agriculture/Forestry/Fish and Game
10.731,Agriculture/Forestry/Fish and Game
10.731,"Environment (water, air, solid waste, pesticides, radiation)"
10.731,"Natural Resources (mineral, water, wildlife, land)"
10.448,Housing
10.720,Agriculture/Forestry/Fish and Game
10.708,Agriculture/Forestry/Fish and Game
10.708,Energy
10.421,Agriculture/Forestry/Fish and Game
10.694,Agriculture/Forestry/Fish and Game
10.174,Agriculture/Forestry/Fish and Game
16.752,"Law, Justice, and Legal Services"
16.752,Consumer Protection
16.752,Elementary/Secondary Education
16.752,Training
10.730,Agriculture/Forestry/Fish and Game
10.732,Agriculture/Forestry/Fish and Game
10.732,"Natural Resources (mineral, water, wildlife, land)"
10.732,Training
14.878,Housing
10.678,Agriculture/Forestry/Fish and Game
14.218,Community Development (includes Federal surplus property)
10.681,Agriculture/Forestry/Fish and Game
10.725,Agriculture/Forestry/Fish and Game
10.725,Business/Commerce
10.725,Economic Development
16.754,"Law, Justice, and Legal Services"
10.410,Housing
10.410,Construction/Renewal/Rehabilitation
10.733,Agriculture/Forestry/Fish and Game
10.733,"Natural Resources (mineral, water, wildlife, land)"
10.680,Agriculture/Forestry/Fish and Game
10.680,Business/Commerce
10.433,Housing
10.433,Construction/Renewal/Rehabilitation
10.447,Housing
64.055,Health/Medical
64.055,Income Security/Social Service/Welfare
64.055,"Law, Justice, and Legal Services"
64.055,Food and Nutrition
64.055,Transportation
10.435,Agriculture/Forestry/Fish and Game
59.072,Business/Commerce
10.405,Housing
10.405,Construction/Renewal/Rehabilitation
94.012,No Functional Application/Unlimited Application
94.003,No Functional Application/Unlimited Application
94.003,Community Development (includes Federal surplus property)
94.021,No Functional Application/Unlimited Application
10.438,Housing
10.415,Housing
10.415,Construction/Renewal/Rehabilitation
94.008,No Functional Application/Unlimited Application
94.002,Income Security/Social Service/Welfare
94.006,No Functional Application/Unlimited Application
32.011,Communications
10.427,Housing
94.020,No Functional Application/Unlimited Application
94.020,"Environment (water, air, solid waste, pesticides, radiation)"
94.020,Housing
94.020,"Natural Resources (mineral, water, wildlife, land)"
94.020,Youth Development
94.020,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
94.020,Community Development (includes Federal surplus property)
94.020,Construction/Renewal/Rehabilitation
94.016,No Functional Application/Unlimited Application
94.017,No Functional Application/Unlimited Application
10.494,Housing
94.026,No Functional Application/Unlimited Application
94.026,Higher Education (includes Research)
94.014,No Functional Application/Unlimited Application
10.495,Housing
10.056,Agriculture/Forestry/Fish and Game
10.056,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
94.011,No Functional Application/Unlimited Application
10.979,Agriculture/Forestry/Fish and Game
10.146,Agriculture/Forestry/Fish and Game
10.146,Communications
10.146,Training
66.608,"Environment (water, air, solid waste, pesticides, radiation)"
66.608,Science and Technology
77.009,Higher Education (includes Research)
77.009,Science and Technology
93.456,Training
96.008,Health/Medical
96.008,Income Security/Social Service/Welfare
93.872,Health/Medical
93.872,Higher Education (includes Research)
93.872,Income Security/Social Service/Welfare
93.226,Health/Medical
93.226,Higher Education (includes Research)
10.950,Libraries/lnformation/Statistics
32.009,Communications
32.009,Elementary/Secondary Education
32.009,Libraries/lnformation/Statistics
32.008,Communications
15.931,Recreation (includes Historic Preservation)
15.931,Training
15.931,Youth Development
15.931,Higher Education (includes Research)
66.110,"Environment (water, air, solid waste, pesticides, radiation)"
66.110,Energy
66.110,Training
66.110,Youth Development
93.583,Income Security/Social Service/Welfare
15.957,Construction/Renewal/Rehabilitation
93.587,Income Security/Social Service/Welfare
93.587,Youth Development
93.587,Communications
93.587,Culture/Arts/Humanities
93.564,Income Security/Social Service/Welfare
93.566,Employment/Labor/Management
93.566,Health/Medical
93.566,Income Security/Social Service/Welfare
97.032,Health/Medical
97.092,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.050,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.088,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
32.005,Health/Medical
32.005,Communications
97.089,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
32.004,Elementary/Secondary Education
32.004,Libraries/lnformation/Statistics
32.004,Communications
97.048,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
32.010,Communications
97.111,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.046,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.075,Business/Commerce
17.150,Employment/Labor/Management
17.004,No Functional Application/Unlimited Application
17.005,Libraries/lnformation/Statistics
17.264,Employment/Labor/Management
17.264,Housing
17.264,Training
17.264,Youth Development
17.264,Vocational Education
17.264,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
17.265,Employment/Labor/Management
17.265,Higher Education (includes Research)
17.265,Training
17.265,Vocational Education
17.265,Vocational Rehabilitation
90.200,Economic Development
90.200,Training
15.519,"Natural Resources (mineral, water, wildlife, land)"
66.964,"Environment (water, air, solid waste, pesticides, radiation)"
66.964,Agriculture/Forestry/Fish and Game
66.958,"Environment (water, air, solid waste, pesticides, radiation)"
66.419,"Environment (water, air, solid waste, pesticides, radiation)"
66.458,"Environment (water, air, solid waste, pesticides, radiation)"
64.035,No Functional Application/Unlimited Application
15.432,"Natural Resources (mineral, water, wildlife, land)"
64.117,Higher Education (includes Research)
64.117,Vocational Education
64.201,No Functional Application/Unlimited Application
64.027,Higher Education (includes Research)
93.581,"Environment (water, air, solid waste, pesticides, radiation)"
93.581,Agriculture/Forestry/Fish and Game
93.581,"Law, Justice, and Legal Services"
93.581,"Natural Resources (mineral, water, wildlife, land)"
64.024,Health/Medical
64.024,Housing
15.018,"Environment (water, air, solid waste, pesticides, radiation)"
15.018,Construction/Renewal/Rehabilitation
15.018,"Natural Resources (mineral, water, wildlife, land)"
64.202,Income Security/Social Service/Welfare
64.124,Higher Education (includes Research)
64.120,Higher Education (includes Research)
64.120,Vocational Education
15.433,"Natural Resources (mineral, water, wildlife, land)"
15.429,"Natural Resources (mineral, water, wildlife, land)"
10.099,Agriculture/Forestry/Fish and Game
10.099,"Natural Resources (mineral, water, wildlife, land)"
93.912,Health/Medical
93.912,Planning
93.912,Regional Development
93.912,Training
93.264,Health/Medical
93.516,Health/Medical
93.516,Training
93.257,Health/Medical
93.527,Health/Medical
93.247,Health/Medical
93.247,Training
93.241,Health/Medical
93.241,Regional Development
93.241,Training
93.667,Income Security/Social Service/Welfare
19.662,Business/Commerce
90.401,Science and Technology
93.110,Health/Medical
93.110,Regional Development
93.211,Health/Medical
93.359,Health/Medical
93.359,Training
93.364,Health/Medical
93.364,Higher Education (includes Research)
93.255,Health/Medical
93.266,Health/Medical
66.614,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.614,Communications
66.614,Community Development (includes Federal surplus property)
66.614,Elementary/Secondary Education
66.614,"Environment (water, air, solid waste, pesticides, radiation)"
66.614,Food and Nutrition
66.614,Higher Education (includes Research)
66.614,Planning
66.614,Transportation
66.614,Training
66.614,Youth Development
93.223,Health/Medical
97.007,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.138,Communications
97.138,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.107,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.040,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.133,Planning
97.133,Training
97.133,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.443,Economic Development
10.443,Food and Nutrition
10.443,Higher Education (includes Research)
10.443,Agriculture/Forestry/Fish and Game
10.443,"Law, Justice, and Legal Services"
10.443,"Natural Resources (mineral, water, wildlife, land)"
10.443,Regional Development
10.443,Training
10.443,Youth Development
10.443,Vocational Education
10.464,Economic Development
10.464,Food and Nutrition
10.464,Higher Education (includes Research)
10.464,Agriculture/Forestry/Fish and Game
10.464,Business/Commerce
10.464,Community Development (includes Federal surplus property)
97.005,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
14.247,Housing
97.131,Training
81.214,"Environment (water, air, solid waste, pesticides, radiation)"
81.214,Higher Education (includes Research)
81.214,Libraries/lnformation/Statistics
81.214,"Natural Resources (mineral, water, wildlife, land)"
81.214,Recreation (includes Historic Preservation)
81.214,Science and Technology
81.214,Training
81.214,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
81.214,Communications
93.499,"Environment (water, air, solid waste, pesticides, radiation)"
93.568,Energy
93.498,Health/Medical
10.143,No Functional Application/Unlimited Application
10.144,Agriculture/Forestry/Fish and Game
93.530,Health/Medical
93.530,Training
12.024,Science and Technology
10.960,"Environment (water, air, solid waste, pesticides, radiation)"
10.960,Food and Nutrition
10.960,Higher Education (includes Research)
10.960,Agriculture/Forestry/Fish and Game
10.960,International (includes Export/lmport)
10.960,"Natural Resources (mineral, water, wildlife, land)"
10.960,Science and Technology
10.960,Training
10.451,Agriculture/Forestry/Fish and Game
64.028,Higher Education (includes Research)
64.028,Vocational Education
10.460,Agriculture/Forestry/Fish and Game
15.565,"Environment (water, air, solid waste, pesticides, radiation)"
15.541,"Natural Resources (mineral, water, wildlife, land)"
16.123,"Law, Justice, and Legal Services"
16.123,Youth Development
16.823,"Law, Justice, and Legal Services"
16.823,Planning
10.974,Agriculture/Forestry/Fish and Game
97.132,Income Security/Social Service/Welfare
97.132,"Law, Justice, and Legal Services"
97.132,Planning
97.132,Training
97.132,Vocational Rehabilitation
97.043,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.018,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.962,Higher Education (includes Research)
10.962,Agriculture/Forestry/Fish and Game
10.962,International (includes Export/lmport)
10.962,Science and Technology
10.962,Training
10.228,Higher Education (includes Research)
10.228,Agriculture/Forestry/Fish and Game
10.612,Food and Nutrition
10.111,Agriculture/Forestry/Fish and Game
19.441,Economic Development
19.441,Elementary/Secondary Education
19.441,Employment/Labor/Management
19.441,Energy
19.441,"Environment (water, air, solid waste, pesticides, radiation)"
19.441,Health/Medical
19.441,Higher Education (includes Research)
19.441,Agriculture/Forestry/Fish and Game
19.441,International (includes Export/lmport)
19.441,"Law, Justice, and Legal Services"
19.441,Libraries/lnformation/Statistics
19.441,"Natural Resources (mineral, water, wildlife, land)"
19.441,Planning
19.441,Public Works
19.441,Recreation (includes Historic Preservation)
19.441,Regional Development
19.441,Science and Technology
19.441,Transportation
19.441,Training
19.441,Youth Development
19.441,Vocational Education
19.441,Communications
19.441,Community Development (includes Federal surplus property)
19.441,Construction/Renewal/Rehabilitation
19.441,Culture/Arts/Humanities
10.112,Agriculture/Forestry/Fish and Game
10.754,Business/Commerce
10.754,Transportation
10.754,Public Works
10.255,Food and Nutrition
10.255,Agriculture/Forestry/Fish and Game
10.605,Agriculture/Forestry/Fish and Game
10.137,Agriculture/Forestry/Fish and Game
10.142,Agriculture/Forestry/Fish and Game
57.001,Income Security/Social Service/Welfare
57.001,Transportation
10.332,Higher Education (includes Research)
10.332,Agriculture/Forestry/Fish and Game
10.332,Health/Medical
10.332,Science and Technology
10.109,Agriculture/Forestry/Fish and Game
10.619,Agriculture/Forestry/Fish and Game
10.619,"Environment (water, air, solid waste, pesticides, radiation)"
10.619,Food and Nutrition
10.619,International (includes Export/lmport)
10.619,"Natural Resources (mineral, water, wildlife, land)"
10.619,Training
10.619,Vocational Education
10.619,Youth Development
10.127,Agriculture/Forestry/Fish and Game
10.207,"Environment (water, air, solid waste, pesticides, radiation)"
10.207,Higher Education (includes Research)
10.207,Science and Technology
10.134,Agriculture/Forestry/Fish and Game
10.025,"Environment (water, air, solid waste, pesticides, radiation)"
10.025,Agriculture/Forestry/Fish and Game
64.005,Health/Medical
64.005,Construction/Renewal/Rehabilitation
10.351,Business/Commerce
10.871,Agriculture/Forestry/Fish and Game
10.871,Business/Commerce
10.871,Vocational Education
10.865,Energy
10.865,"Environment (water, air, solid waste, pesticides, radiation)"
10.865,"Natural Resources (mineral, water, wildlife, land)"
10.890,Economic Development
10.890,Energy
10.890,Health/Medical
10.890,Housing
10.890,Agriculture/Forestry/Fish and Game
10.890,Regional Development
10.890,Business/Commerce
10.890,Training
10.890,Community Development (includes Federal surplus property)
10.782,Agriculture/Forestry/Fish and Game
10.867,Economic Development
10.867,Energy
10.867,Business/Commerce
10.513,Higher Education (includes Research)
10.513,Agriculture/Forestry/Fish and Game
10.513,Libraries/lnformation/Statistics
10.513,Construction/Renewal/Rehabilitation
10.511,Energy
10.511,Food and Nutrition
10.511,Higher Education (includes Research)
10.511,Agriculture/Forestry/Fish and Game
10.511,Planning
10.511,Science and Technology
10.511,Training
10.511,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.511,Community Development (includes Federal surplus property)
10.227,Higher Education (includes Research)
10.227,Agriculture/Forestry/Fish and Game
10.210,Higher Education (includes Research)
10.210,Agriculture/Forestry/Fish and Game
10.330,Agriculture/Forestry/Fish and Game
10.308,Higher Education (includes Research)
97.024,Food and Nutrition
97.024,Housing
97.033,"Law, Justice, and Legal Services"
64.204,Higher Education (includes Research)
97.102,Community Development (includes Federal surplus property)
97.030,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.034,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.025,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.139,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.036,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.773,Health/Medical
93.773,Income Security/Social Service/Welfare
10.951,Libraries/lnformation/Statistics
93.770,Health/Medical
93.341,Health/Medical
93.779,Higher Education (includes Research)
93.779,Income Security/Social Service/Welfare
93.968,Health/Medical
97.082,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
96.007,Higher Education (includes Research)
96.007,Income Security/Social Service/Welfare
97.057,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
32.007,Health/Medical
97.055,Communications
10.582,Food and Nutrition
10.404,Agriculture/Forestry/Fish and Game
10.404,"Natural Resources (mineral, water, wildlife, land)"
97.061,Higher Education (includes Research)
95.004,"Law, Justice, and Legal Services"
14.871,Housing
10.128,Agriculture/Forestry/Fish and Game
10.128,Business/Commerce
10.128,Communications
10.128,Economic Development
10.512,Higher Education (includes Research)
10.515,Agriculture/Forestry/Fish and Game
10.515,"Natural Resources (mineral, water, wildlife, land)"
97.042,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.045,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.106,"Law, Justice, and Legal Services"
97.106,Maritime
97.106,Planning
97.106,Regional Development
97.106,Training
97.106,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.044,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.056,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
32.002,Communications
97.022,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.023,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.130,Higher Education (includes Research)
97.130,Planning
97.052,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.921,Agriculture/Forestry/Fish and Game
98.005,Training
10.937,Agriculture/Forestry/Fish and Game
10.937,"Environment (water, air, solid waste, pesticides, radiation)"
10.937,Science and Technology
10.191,No Functional Application/Unlimited Application
14.267,Housing
14.267,Community Development (includes Federal surplus property)
16.571,Income Security/Social Service/Welfare
10.913,Agriculture/Forestry/Fish and Game
10.913,"Natural Resources (mineral, water, wildlife, land)"
10.535,Food and Nutrition
10.912,"Natural Resources (mineral, water, wildlife, land)"
10.929,Agriculture/Forestry/Fish and Game
10.925,Agriculture/Forestry/Fish and Game
93.974,Health/Medical
93.899,Health/Medical
10.185,Food and Nutrition
10.185,Economic Development
98.002,International (includes Export/lmport)
16.615,Higher Education (includes Research)
93.086,Income Security/Social Service/Welfare
10.936,"Environment (water, air, solid waste, pesticides, radiation)"
10.936,"Natural Resources (mineral, water, wildlife, land)"
10.936,Agriculture/Forestry/Fish and Game
12.600,Economic Development
12.600,Planning
12.600,Community Development (includes Federal surplus property)
10.167,Agriculture/Forestry/Fish and Game
10.167,Transportation
93.297,Health/Medical
93.343,Health/Medical
98.004,International (includes Export/lmport)
93.088,Health/Medical
93.088,Higher Education (includes Research)
93.088,Science and Technology
66.042,"Environment (water, air, solid waste, pesticides, radiation)"
10.189,Agriculture/Forestry/Fish and Game
10.189,Business/Commerce
10.189,Construction/Renewal/Rehabilitation
10.189,Economic Development
10.189,Food and Nutrition
10.189,Regional Development
10.189,Transportation
10.580,Food and Nutrition
66.045,Elementary/Secondary Education
66.045,"Environment (water, air, solid waste, pesticides, radiation)"
66.045,Transportation
93.217,Health/Medical
16.610,"Law, Justice, and Legal Services"
66.814,"Environment (water, air, solid waste, pesticides, radiation)"
66.814,Training
10.928,"Environment (water, air, solid waste, pesticides, radiation)"
10.928,Agriculture/Forestry/Fish and Game
10.928,"Natural Resources (mineral, water, wildlife, land)"
93.260,Health/Medical
93.260,Income Security/Social Service/Welfare
93.260,Training
10.923,"Natural Resources (mineral, water, wildlife, land)"
98.006,Elementary/Secondary Education
98.006,Higher Education (includes Research)
10.176,Agriculture/Forestry/Fish and Game
59.062,Economic Development
59.062,Energy
59.062,"Environment (water, air, solid waste, pesticides, radiation)"
59.062,Food and Nutrition
59.062,Health/Medical
59.062,Higher Education (includes Research)
59.062,Regional Development
59.062,Science and Technology
59.062,Business/Commerce
59.062,Training
59.062,Community Development (includes Federal surplus property)
59.062,Construction/Renewal/Rehabilitation
59.062,Culture/Arts/Humanities
66.950,"Environment (water, air, solid waste, pesticides, radiation)"
66.950,Higher Education (includes Research)
10.179,Agriculture/Forestry/Fish and Game
10.179,Food and Nutrition
59.041,Economic Development
10.922,Agriculture/Forestry/Fish and Game
98.007,Food and Nutrition
66.804,"Environment (water, air, solid waste, pesticides, radiation)"
93.137,Health/Medical
14.856,Housing
10.914,Agriculture/Forestry/Fish and Game
10.914,"Natural Resources (mineral, water, wildlife, land)"
10.920,Agriculture/Forestry/Fish and Game
66.813,"Environment (water, air, solid waste, pesticides, radiation)"
66.813,Training
66.813,Science and Technology
98.009,Agriculture/Forestry/Fish and Game
98.010,International (includes Export/lmport)
10.934,Agriculture/Forestry/Fish and Game
10.927,Agriculture/Forestry/Fish and Game
10.927,"Natural Resources (mineral, water, wildlife, land)"
10.093,"Natural Resources (mineral, water, wildlife, land)"
10.163,Agriculture/Forestry/Fish and Game
10.163,Business/Commerce
10.932,"Environment (water, air, solid waste, pesticides, radiation)"
10.932,"Natural Resources (mineral, water, wildlife, land)"
10.933,"Environment (water, air, solid waste, pesticides, radiation)"
10.933,Agriculture/Forestry/Fish and Game
10.933,"Natural Resources (mineral, water, wildlife, land)"
10.933,Science and Technology
98.012,Higher Education (includes Research)
10.175,Agriculture/Forestry/Fish and Game
66.808,"Environment (water, air, solid waste, pesticides, radiation)"
66.808,Training
98.008,Food and Nutrition
10.183,Agriculture/Forestry/Fish and Game
98.003,International (includes Export/lmport)
93.085,Health/Medical
93.085,Higher Education (includes Research)
93.085,Science and Technology
66.963,"Environment (water, air, solid waste, pesticides, radiation)"
10.917,No Functional Application/Unlimited Application
93.344,Health/Medical
16.038,"Law, Justice, and Legal Services"
10.153,Agriculture/Forestry/Fish and Game
10.069,Agriculture/Forestry/Fish and Game
17.278,Employment/Labor/Management
17.278,Training
10.618,Business/Commerce
10.618,International (includes Export/lmport)
10.129,Agriculture/Forestry/Fish and Game
10.133,Agriculture/Forestry/Fish and Game
10.617,International (includes Export/lmport)
10.964,Agriculture/Forestry/Fish and Game
10.130,Agriculture/Forestry/Fish and Game
10.087,Energy
10.087,Agriculture/Forestry/Fish and Game
10.120,Agriculture/Forestry/Fish and Game
10.559,Food and Nutrition
93.674,Income Security/Social Service/Welfare
93.674,Youth Development
93.671,Income Security/Social Service/Welfare
93.496,Income Security/Social Service/Welfare
93.560,Income Security/Social Service/Welfare
14.110,Housing
10.703,"Natural Resources (mineral, water, wildlife, land)"
10.703,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.555,Food and Nutrition
14.198,Housing
59.007,Business/Commerce
10.532,Training
10.532,Food and Nutrition
93.658,Income Security/Social Service/Welfare
93.658,Youth Development
93.235,Health/Medical
93.235,Training
93.235,Youth Development
93.087,Health/Medical
93.087,Income Security/Social Service/Welfare
10.102,Agriculture/Forestry/Fish and Game
10.500,Higher Education (includes Research)
10.500,Agriculture/Forestry/Fish and Game
10.500,"Natural Resources (mineral, water, wildlife, land)"
10.500,Science and Technology
10.577,Food and Nutrition
10.577,Science and Technology
10.333,Food and Nutrition
10.333,Training
10.333,Vocational Education
10.333,Agriculture/Forestry/Fish and Game
10.333,Economic Development
10.333,"Environment (water, air, solid waste, pesticides, radiation)"
93.647,Higher Education (includes Research)
93.647,Income Security/Social Service/Welfare
93.647,Youth Development
66.313,"Environment (water, air, solid waste, pesticides, radiation)"
10.691,Agriculture/Forestry/Fish and Game
10.683,Agriculture/Forestry/Fish and Game
64.039,No Functional Application/Unlimited Application
66.125,"Environment (water, air, solid waste, pesticides, radiation)"
66.418,"Environment (water, air, solid waste, pesticides, radiation)"
66.418,Public Works
64.033,Housing
97.137,Science and Technology
66.121,"Environment (water, air, solid waste, pesticides, radiation)"
66.204,"Environment (water, air, solid waste, pesticides, radiation)"
66.203,"Environment (water, air, solid waste, pesticides, radiation)"
97.134,"Law, Justice, and Legal Services"
64.051,Science and Technology
66.130,"Environment (water, air, solid waste, pesticides, radiation)"
10.528,Food and Nutrition
64.054,No Functional Application/Unlimited Application
10.540,Food and Nutrition
10.540,Health/Medical
93.623,Housing
93.623,Income Security/Social Service/Welfare
93.623,Youth Development
10.551,Food and Nutrition
93.550,Income Security/Social Service/Welfare
93.550,Youth Development
10.537,No Functional Application/Unlimited Application
10.557,Food and Nutrition
93.557,Income Security/Social Service/Welfare
93.557,Youth Development
93.556,Income Security/Social Service/Welfare
10.529,Food and Nutrition
10.529,Training
93.090,Income Security/Social Service/Welfare
93.471,Income Security/Social Service/Welfare
93.092,Health/Medical
93.092,Youth Development
10.578,Food and Nutrition
10.578,Science and Technology
93.497,Income Security/Social Service/Welfare
93.787,Training
93.787,Youth Development
66.714,"Environment (water, air, solid waste, pesticides, radiation)"
17.207,Employment/Labor/Management
93.599,Higher Education (includes Research)
93.599,Income Security/Social Service/Welfare
93.599,Youth Development
10.558,Food and Nutrition
93.579,Income Security/Social Service/Welfare
93.591,Income Security/Social Service/Welfare
66.708,"Environment (water, air, solid waste, pesticides, radiation)"
66.708,Regional Development
66.708,Training
66.708,Business/Commerce
66.708,Economic Development
66.708,Health/Medical
66.708,Higher Education (includes Research)
66.708,Planning
10.714,Agriculture/Forestry/Fish and Game
93.604,Health/Medical
93.604,Income Security/Social Service/Welfare
10.724,"Natural Resources (mineral, water, wildlife, land)"
10.716,"Natural Resources (mineral, water, wildlife, land)"
10.716,Agriculture/Forestry/Fish and Game
10.574,Food and Nutrition
10.574,Training
10.536,Food and Nutrition
93.659,Income Security/Social Service/Welfare
93.670,Income Security/Social Service/Welfare
10.541,Food and Nutrition
10.904,"Natural Resources (mineral, water, wildlife, land)"
10.904,Planning
10.904,Recreation (includes Historic Preservation)
10.904,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.904,Construction/Renewal/Rehabilitation
59.053,Business/Commerce
66.721,"Environment (water, air, solid waste, pesticides, radiation)"
93.605,Income Security/Social Service/Welfare
10.556,Food and Nutrition
66.720,Agriculture/Forestry/Fish and Game
66.720,Communications
66.720,"Environment (water, air, solid waste, pesticides, radiation)"
66.720,Health/Medical
66.720,Training
93.472,Income Security/Social Service/Welfare
59.012,Energy
59.012,Business/Commerce
59.061,International (includes Export/lmport)
59.061,Business/Commerce
59.061,Training
93.645,Income Security/Social Service/Welfare
93.586,Income Security/Social Service/Welfare
93.576,Income Security/Social Service/Welfare
93.592,Income Security/Social Service/Welfare
10.553,Food and Nutrition
30.005,"Law, Justice, and Legal Services"
17.401,Economic Development
17.401,Elementary/Secondary Education
17.401,Employment/Labor/Management
17.401,International (includes Export/lmport)
17.401,Training
17.401,Youth Development
17.401,Vocational Education
17.401,Community Development (includes Federal surplus property)
17.701,Training
17.701,Employment/Labor/Management
17.272,Employment/Labor/Management
17.272,Business/Commerce
17.273,Employment/Labor/Management
17.273,Business/Commerce
10.184,Agriculture/Forestry/Fish and Game
10.184,Business/Commerce
10.184,Economic Development
10.186,Agriculture/Forestry/Fish and Game
10.186,Food and Nutrition
66.956,"Environment (water, air, solid waste, pesticides, radiation)"
10.766,Elementary/Secondary Education
10.766,Energy
10.766,Food and Nutrition
10.766,Health/Medical
10.766,Higher Education (includes Research)
10.766,Libraries/lnformation/Statistics
10.766,Maritime
10.766,Public Works
10.766,Transportation
10.766,Youth Development
10.766,Vocational Education
10.766,Vocational Rehabilitation
10.766,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.766,Communications
10.766,Community Development (includes Federal surplus property)
10.766,Construction/Renewal/Rehabilitation
10.766,Culture/Arts/Humanities
