data.programNumber,value
10.701,Government - General
10.701,Federal
10.701,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.701,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.701,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.701,Federally Recognized lndian Tribal Governments
10.701,U.S. Territories and possessions
10.701,State
10.701,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.707,State
10.707,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.707,Federal
10.707,Other public institution/organization
10.707,Other private institutions/organizations
10.705,Government - General
10.705,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.705,State
10.567,Federally Recognized lndian Tribal Governments
10.567,State
10.567,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
17.601,Anyone/general public
10.717,U.S. Territories and possessions
10.717,Government - General
10.717,Federal
10.717,State
10.717,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.717,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.717,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.717,Other public institution/organization
10.717,Federally Recognized lndian Tribal Governments
10.717,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.717,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.717,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.704,Government - General
10.704,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.704,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.704,State
10.690,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.690,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.690,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.690,Profit organization
10.690,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.690,State
10.665,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.665,U.S. Territories and possessions
10.665,State
10.699,Government - General
10.699,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.699,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.699,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.699,Other public institution/organization
10.699,Federally Recognized lndian Tribal Governments
10.699,U.S. Territories and possessions
10.699,Non-Government - General
10.699,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.699,Quasi-public nonprofit institution/organization
10.699,State
10.699,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.718,U.S. Territories and possessions
10.718,Government - General
10.718,State
10.718,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.718,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.718,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.718,Federally Recognized lndian Tribal Governments
10.718,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.718,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.718,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.702,Government - General
10.702,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.702,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.702,Other public institution/organization
10.702,Federally Recognized lndian Tribal Governments
10.702,Non-Government - General
10.702,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.702,Quasi-public nonprofit institution/organization
10.702,State
10.702,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.702,Federal
10.702,Individual/Family
10.652,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.652,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.652,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.652,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.652,Individual/Family
10.652,Small business (less than 500 employees)
10.652,Profit organization
10.652,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.652,Quasi-public nonprofit institution/organization
10.682,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.684,Government - General
10.684,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.684,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.684,Other public institution/organization
10.684,Federally Recognized lndian Tribal Governments
10.684,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.684,Individual/Family
10.684,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.684,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.666,State
17.261,Government - General
17.261,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.261,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.261,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.261,Small business (less than 500 employees)
17.261,Profit organization
17.261,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.261,Quasi-public nonprofit institution/organization
17.261,Other private institutions/organizations
17.261,State
17.285,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.285,Other public institution/organization
17.285,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.285,Quasi-public nonprofit institution/organization
17.285,U.S. Territories and possessions
17.285,State
17.259,State
17.270,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.270,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.270,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.270,Other public institution/organization
17.270,Federally Recognized lndian Tribal Governments
17.270,U.S. Territories and possessions
17.270,U.S. Territories and possessions (includes institutions of higher education and hospitals)
17.270,Non-Government - General
17.270,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.270,Quasi-public nonprofit institution/organization
17.270,State
17.270,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
17.258,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.258,U.S. Territories and possessions
17.258,State
17.268,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.268,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.268,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.268,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.268,Profit organization
17.289,U.S. Territories and possessions
17.289,Government - General
17.289,State
17.289,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.289,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.289,Other public institution/organization
17.289,Non-Government - General
17.289,Small business (less than 500 employees)
17.289,Profit organization
17.289,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.801,U.S. Territories and possessions
17.801,State
17.805,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.805,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.805,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.235,"State (includes District of Columbia, public institutions of higher education and hospitals)"
17.235,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
17.235,Other public institution/organization
17.235,U.S. Territories and possessions (includes institutions of higher education and hospitals)
17.235,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
17.235,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
17.235,Federally Recognized lndian Tribal Governments
17.235,Minority group
17.235,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.477,Individual/Family
10.477,Profit organization
10.477,Other private institutions/organizations
16.544,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.544,Other public institution/organization
16.544,Individual/Family
16.544,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.033,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.033,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.645,U.S. Territories and possessions
10.645,State
10.479,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.479,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
14.022,State
14.022,"State (includes District of Columbia, public institutions of higher education and hospitals)"
14.022,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.022,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
14.022,Other private institutions/organizations
14.022,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.022,Other public institution/organization
16.751,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.751,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.751,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.751,Other public institution/organization
16.751,Federally Recognized lndian Tribal Governments
10.594,Federally Recognized lndian Tribal Governments
10.594,State
10.594,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.203,Interstate
16.203,Intrastate
16.203,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.203,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.203,U.S. Territories and possessions
16.203,Individual/Family
16.203,Profit organization
16.203,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.203,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.614,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.614,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.566,Individual/Family
16.566,"Specialized group (e.g. health professionals, students, veterans)"
16.817,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.817,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.817,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.817,Federally Recognized lndian Tribal Governments
16.817,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.817,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.575,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.575,Federally Recognized lndian Tribal Governments
10.575,Non-Government - General
10.575,State
10.575,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.575,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.229,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
14.889,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
14.889,Profit organization
14.889,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.921,Federal
15.921,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.921,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.921,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.117,Individual/Family
15.947,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.947,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.327,Other public institution/organization
14.327,State
66.038,Federally Recognized lndian Tribal Governments
16.048,State
16.048,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.048,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.048,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.048,Federally Recognized lndian Tribal Governments
16.048,U.S. Territories and possessions
14.023,Government - General
14.023,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
14.023,State
14.023,Other public institution/organization
14.023,Non-Government - General
14.023,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
14.023,Other private institutions/organizations
59.006,Minority group
59.006,Small business (less than 500 employees)
16.562,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.562,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.562,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
14.183,"Specialized group (e.g. health professionals, students, veterans)"
14.183,Individual/Family
12.330,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
12.330,Other public institution/organization
12.330,"Specialized group (e.g. health professionals, students, veterans)"
12.330,Small business (less than 500 employees)
12.330,Profit organization
12.330,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
12.330,Other private institutions/organizations
10.531,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.531,Other public institution/organization
10.531,Profit organization
10.531,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.518,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.216,Federal
10.216,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.216,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.216,Other public institution/organization
10.522,Government - General
10.522,Federal
10.522,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.522,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.522,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.522,Other public institution/organization
10.522,Federally Recognized lndian Tribal Governments
10.522,U.S. Territories and possessions
10.522,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.522,Individual/Family
10.522,Quasi-public nonprofit institution/organization
10.522,Other private institutions/organizations
10.522,State
10.139,Federally Recognized lndian Tribal Governments
10.139,Individual/Family
10.139,Profit organization
10.222,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.222,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.523,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.523,Other public institution/organization
10.203,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.203,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.203,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.777,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.777,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.777,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.171,State
10.171,Individual/Family
10.237,State
10.237,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.604,Federal
10.604,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.604,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.604,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.110,Federally Recognized lndian Tribal Governments
10.110,Individual/Family
10.110,Minority group
10.110,Small business (less than 500 employees)
10.110,Profit organization
10.110,Anyone/general public
10.113,Individual/Family
10.113,Small business (less than 500 employees)
10.113,Profit organization
10.113,Anyone/general public
10.303,Federal
10.303,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.303,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.303,Other public institution/organization
10.303,Minority group
10.303,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.303,Other private institutions/organizations
10.244,Other public institution/organization
10.514,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.116,Individual/Family
10.116,Minority group
10.116,"Specialized group (e.g. health professionals, students, veterans)"
10.116,Small business (less than 500 employees)
10.116,Profit organization
10.116,Other private institutions/organizations
10.116,Anyone/general public
10.219,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.219,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.219,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.219,Other public institution/organization
10.219,Federally Recognized lndian Tribal Governments
10.219,Minority group
10.219,Profit organization
10.219,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.219,Other private institutions/organizations
10.221,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.221,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.123,Non-Government - General
10.123,Individual/Family
10.378,Federally Recognized lndian Tribal Governments
10.378,Non-Government - General
10.378,Small business (less than 500 employees)
10.378,Other private institutions/organizations
10.378,Profit organization
10.378,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.215,Federal
10.215,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.215,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.215,Other public institution/organization
10.215,Profit organization
10.215,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.215,Quasi-public nonprofit institution/organization
10.601,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.601,Other private institutions/organizations
10.131,U.S. Territories and possessions
10.131,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.131,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.131,Federally Recognized lndian Tribal Governments
10.961,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.961,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.961,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.961,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.608,Non-Government - General
10.608,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.608,Other private institutions/organizations
10.608,Other public institution/organization
10.603,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.603,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.603,Other public institution/organization
10.603,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.768,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.768,Federally Recognized lndian Tribal Governments
10.768,Individual/Family
10.768,"Specialized group (e.g. health professionals, students, veterans)"
10.768,Profit organization
10.768,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.768,Other private institutions/organizations
45.301,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
45.301,U.S. Territories and possessions (includes institutions of higher education and hospitals)
45.301,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
45.301,"State (includes District of Columbia, public institutions of higher education and hospitals)"
45.301,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
45.301,Federally Recognized lndian Tribal Governments
10.320,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.320,Other public institution/organization
10.098,U.S. Territories and possessions
10.098,Individual/Family
10.098,"Specialized group (e.g. health professionals, students, veterans)"
10.236,Non-Government - General
10.966,Non-Government - General
10.966,Individual/Family
10.767,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.767,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.767,Federally Recognized lndian Tribal Governments
10.767,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.600,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.597,U.S. Territories and possessions
10.149,Profit organization
10.051,Individual/Family
10.051,Profit organization
10.615,Profit organization
45.308,Federally Recognized lndian Tribal Governments
45.308,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
45.308,Other private institutions/organizations
10.250,Anyone/general public
10.610,Sponsored organization
10.610,Profit organization
10.610,Quasi-public nonprofit institution/organization
10.614,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.614,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.614,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.614,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.253,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.253,Individual/Family
10.253,Anyone/general public
10.971,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.971,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.971,Profit organization
10.377,State
10.377,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.377,Federally Recognized lndian Tribal Governments
10.377,Non-Government - General
10.377,"Specialized group (e.g. health professionals, students, veterans)"
10.377,Profit organization
10.377,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.377,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.202,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.202,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.108,Individual/Family
10.108,"Specialized group (e.g. health professionals, students, veterans)"
10.108,Small business (less than 500 employees)
10.108,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.108,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.975,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.975,Other private institutions/organizations
10.975,Other public institution/organization
10.975,U.S. Territories and possessions
10.147,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.147,Federally Recognized lndian Tribal Governments
10.147,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.147,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.147,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.147,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.309,Federal
10.309,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.309,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.309,"Specialized group (e.g. health professionals, students, veterans)"
10.309,Small business (less than 500 employees)
10.309,Profit organization
10.309,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.309,Quasi-public nonprofit institution/organization
10.309,Anyone/general public
10.616,Profit organization
10.234,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.234,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.816,Interstate
66.816,Intrastate
66.816,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.816,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.816,Federally Recognized lndian Tribal Governments
66.816,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.938,Federally Recognized lndian Tribal Governments
10.938,Individual/Family
10.938,Minority group
10.938,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.938,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.938,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.938,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.938,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.177,State
10.177,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.177,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.177,Federally Recognized lndian Tribal Governments
10.177,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.177,Individual/Family
10.177,Profit organization
10.177,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.177,Quasi-public nonprofit institution/organization
10.177,Other private institutions/organizations
10.916,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.916,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.924,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.924,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.924,Federally Recognized lndian Tribal Governments
10.924,U.S. Territories and possessions
10.924,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.924,Non-Government - General
10.924,Individual/Family
10.924,Profit organization
10.924,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.924,State
10.907,Anyone/general public
98.011,Federal
98.011,"State (includes District of Columbia, public institutions of higher education and hospitals)"
98.011,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
98.011,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
98.011,Individual/Family
98.011,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
98.011,Other private institutions/organizations
98.001,Anyone/general public
10.905,Federal
10.905,Intrastate
10.905,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.905,Sponsored organization
10.905,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.905,Profit organization
10.164,Federal
10.164,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.164,Other public institution/organization
10.164,Profit organization
10.902,Intrastate
10.902,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.902,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.902,Sponsored organization
10.902,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.902,Individual/Family
10.902,"Specialized group (e.g. health professionals, students, veterans)"
10.902,Profit organization
93.007,Sponsored organization
93.007,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.007,Other public institution/organization
93.007,Profit organization
93.007,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.007,U.S. Territories and possessions
93.007,Government - General
93.007,State
93.007,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.007,Federally Recognized lndian Tribal Governments
93.007,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.007,Small business (less than 500 employees)
93.007,Other private institutions/organizations
93.007,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.041,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.041,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.041,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.041,Profit organization
16.041,Other private institutions/organizations
16.041,Other public institution/organization
10.187,State
10.165,Individual/Family
10.165,Profit organization
93.990,U.S. Territories and possessions
93.990,State
93.990,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.990,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.990,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.990,Federally Recognized lndian Tribal Governments
93.990,U.S. Territories and possessions (includes institutions of higher education and hospitals)
93.990,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
93.990,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
66.951,U.S. Territories and possessions
66.951,Interstate
66.951,Intrastate
66.951,State
66.951,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.951,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.951,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.951,Other public institution/organization
66.951,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.951,Non-Government - General
66.951,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.951,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.155,Individual/Family
10.155,"Specialized group (e.g. health professionals, students, veterans)"
10.155,Profit organization
66.518,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.319,Federal
10.319,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.319,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.319,Other public institution/organization
10.319,Individual/Family
10.319,Profit organization
10.319,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.319,Quasi-public nonprofit institution/organization
10.519,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.329,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.329,Other public institution/organization
10.329,Other private institutions/organizations
10.322,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.322,Other public institution/organization
10.969,Government - General
10.969,State
10.969,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.969,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.969,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.969,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.969,Federally Recognized lndian Tribal Governments
10.054,Individual/Family
10.054,"Specialized group (e.g. health professionals, students, veterans)"
10.054,Profit organization
10.328,Federal
10.328,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.328,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.328,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.328,Other public institution/organization
10.328,Federally Recognized lndian Tribal Governments
10.328,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.328,Other private institutions/organizations
10.328,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
10.521,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.336,"State (includes District of Columbia, public institutions of higher education and hospitals)"
10.336,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
10.336,Sponsored organization
10.336,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
10.336,Other public institution/organization
10.336,Federally Recognized lndian Tribal Governments
10.336,U.S. Territories and possessions
10.336,U.S. Territories and possessions (includes institutions of higher education and hospitals)
10.336,Small business (less than 500 employees)
10.336,Profit organization
10.336,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
10.336,Other private institutions/organizations
