data.title,data.objective,data.programNumber,data.organizationId,data.description,l1ShortName,l1Name,l2Name
Organic Agriculture Research and Extension Initiative,"Facilitate the development of organic agriculture production, breeding, and processing methods.  
Functionally identify soil microbial communities and ways to manage microbial dynamics to enhance nutrient cycling and disease suppression; 
Develop systemic approaches to weed, insect and disease management; 
Prevent, control, and treat internal and external parasites in various livestock species; and Breed crops for disease and insect resistance, good yield in a biologically diverse system, compatibility with intercrops, good response to organic fertility sources, horizontal resistance (traits determined by multiple genes).  
Evaluate the potential economic benefits to producers and processors who use organic methods.  
Analyze potential economic costs, returns and risks of organic production systems;  
Use environmental valuation tools to quantify externalities of producing food, and compare externalities of producing organic and conventional food; - 
Analyze price and market structures, including ability of small, medium-, and large-scale growers to access different markets, in order to frame policies that minimize concentration within the industry; and 
Analyze marketing channels to document how organic food is distributed, what share of the organic food dollar is returned to the farmer, and the implications of large-scale manufacturers entering the organic market. 
Explore international trade opportunities for organically grown and processed agricultural commodities.  
Compare compatibility of certification standards used in different parts of the world, with the ultimate goal of harmonization and reciprocity; 
Undertake marketing studies of international consumer demand for U.S. produced organic goods; and 
Perform Welfare analyses (quantified gains and losses for producers and consumers) of trade policies affecting international competitiveness, including implementation of the National Organic Program, domestic support programs such as the Conservation Security Act, country of origin labeling, GMO labeling, etc.  
Determine desirable traits for organic commodities.  
Examine relationships between nutrients in the soil and nutrients in the food grown on that soil, including long-term soil nutrient and crop nutrient profiles under conventional and organic management; 
Perform comparisons of nutrient levels between organic and conventional crops and relationship, if any, between taste and nutrient profile; Investigate the role of post-harvest handling and treatment in the maintenance of quality in fresh market organic products; and Determine the reasons for consumer preferences for organic goods. Identify marketing and policy constraints on the expansion of organic agriculture. 
Analyze opportunities and constraints to organic agriculture resulting from provisions of the Farm Security and Rural Investment Act of 2002; 
Investigate specific barriers to markets, such as scale-based regulations that restrict family farm access to processors and/or markets;  
Study negative lender perception of organic farming and ways to change this; and 
Analyze regulatory barriers, such as lack of access to Federal farm programs, and developing solutions to these challenges.  
Conduct advanced on-farm research and development that emphasizes observation of, experimentation with, and innovation for working organic farms, including research relating to production and marketing and to socioeconomic conditions. 

(Note: Many topics from other goal areas can be conducted on working farms.)  

Develop rigorous on-farm systems research designs; and Conduct long-term, interdisciplinary systems research.",10.307,100181287,,USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Higher Education - Multicultural Scholars Grant Program,"To increase the ethnic and cultural diversity of the food and agricultural scientific and professional work force, and to advance the educational achievement of minority Americans, by providing grants to colleges and universities that have a demonstrable capacity to attract, educate, and graduate minority students for careers as agriscience and agribusiness professionals, and have unique capabilities for achieving the objective of full representation of minority groups in the fields of agriculture, natural resources, forestry, veterinary medicine, home economics, and disciplines closely allied to the food and agricultural system.",10.220,100181287,,USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Laying Hen and Turkey Research Program,"The Laying Hen and Turkey Research program under assistance listing number 10.245 will support one or more research projects for improving the efficiency and sustainability of laying hen and turkey production through integrated collaborative research and technology transfer.
Applications may emphasize one or more of the following priority areas:
-disease prevention, including vaccine development and administration, diagnostics and early detection, disease resistance, and reducing pathogen transmission 
antimicrobial resistance, including alternatives to antimicrobials, such as probiotics or prebiotics; antimicrobial technologies; and mitigation of multidrug resistance 
-nutrition, including alternative and sustainable feeds and ingredients 
-gut health, including improvements to gut health that promote animal health, and impacts of pathogens, commensals and the microbiome 
-alternative housing systems under extreme seasonal weather conditions, including use of precision technologies, enhanced monitoring to improve indoor air quality and biosecurity, and to control the spread of disease",10.245,100181287,"The Laying Hen and Turkey Research program under assistance listing number 10.245 will support one or more research projects for improving the efficiency and sustainability of laying hen and turkey production through integrated collaborative research and technology transfer.
Applications may emphasize one or more of the following priority areas:
-disease prevention, including vaccine development and administration, diagnostics and early detection, disease resistance, and reducing pathogen transmission 
antimicrobial resistance, including alternatives to antimicrobials, such as probiotics or prebiotics; antimicrobial technologies; and mitigation of multidrug resistance 
-nutrition, including alternative and sustainable feeds and ingredients 
-gut health, including improvements to gut health that promote animal health, and impacts of pathogens, commensals and the microbiome 
-alternative housing systems under extreme seasonal weather conditions, including use of precision technologies, enhanced monitoring to improve indoor air quality and biosecurity, and to control the spread of disease",USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Rural Electrification Loans and Loan Guarantees,"To assure that people in eligible rural areas have access to electric services comparable in reliability and quality to the rest of the Nation and to assist borrowers in implementation of demand-side management, energy efficiency and conservation programs and on-grid and off-grid renewable energy systems.",10.850,300000151,,USDA,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE
Rural Energy Savings Program (RESP),"The Rural Energy Savings Program (RESP) provides loans to entities who provide energy efficiency 
services in rural areas that agree to make affordable loans to help Qualified consumers implement cost- effective, energy efficiency measures. This program, authorized by Congress in the 2014 Farm Bill, helps to build a cleaner and more sustainable domestic energy sector for future generations. RESP will help lower energy bills for rural families and businesses and will reduce barriers to 
investment in energy efficiency projects or activities.",10.751,300000151,"The Rural Energy Savings Program (RESP) is a relending program that helps rural families and small businesses achieve cost savings by providing loans to qualified consumers to implement durable cost-effective energy efficiency measures.
Eligible applicants under the RESP include current and former Rural Utilities Service (RUS) electric borrowers, subsidiaries of current or former RUS electric borrowers, and entities that provide eligible purposes under RESP.",USDA,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE
Longshore and Harbor Workers' Compensation,"To provide compensation for disability or death resulting from injury, including occupational disease, to eligible private employees.",17.302,100147884,,DOL,"LABOR, DEPARTMENT OF",OFFICE OF WORKERS COMPENSATION PROGRAM
Denali Commission Grants and Loans ,Grants and loans to the Denali Commission for the benefit of rural communities in Alaska with extremely high household energy costs exceeding 275 percent of the national average. ,10.858,300000151,,USDA,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE
"Women and Minorities in Science, Technology, Engineering, and Mathematics Fields","The Women and Minorities (WAMS) in Science, Technology, Engineering and Mathematics (STEM) Fields program was authorized to increase participation by women and underrepresented minorities from rural areas in the fields of science, technology, engineering and mathematics, with priority given to eligible institutions that carry out continuing programs funded by the Secretary. 

The goal of the WAMS program is to develop and implement robust partnerships to increase the representation, participation, and entrepreneurism of women in STEM careers, thereby contributing to national economic prosperity. 

The purpose of the grant program is to support projects that: Provide STEM knowledge, skills and competency to Women and Minorities from Rural Areas with successful placement (a) in the workforce in STEM fields, or (b) as innovators and entrepreneurs adding value to the STEM fields in areas that have relevancy to the USDA Secretary’s priorities.
",10.318,100181287,,USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Assistance to High Energy Cost Rural Communities,Assistance to rural communities with extremely high energy costs.,10.859,300000151,,USDA,"AGRICULTURE, DEPARTMENT OF",RURAL UTILITIES SERVICE
Energy Employees Occupational Illness Compensation,"Part B provides lump-sum monetary payments and medical benefits to covered employees and, where applicable, to survivors of such employees, of the Department of Energy (DOE), its predecessor agencies and certain of its vendors, contractors and subcontractors.  Part B also provides lump-sum payments and medical benefits to individuals found eligible by the Department of Justice (DOJ) under section 5 of the Radiation Exposure Compensation Act (RECA) and, where applicable, to their survivors.  Part E of the Act provides variable lump-sum payments (based on a worker's permanent impairment and/or calendar years of qualifying wage-loss) and medical benefits for covered DOE contractor employees and, where applicable, provides variable lump-sum payments to survivors of such employees (based on a worker's death due to a covered illness and percentage of wages lost in a given year.  Part E also provides these same payments and benefits to uranium miners, millers and ore transporters covered by section 5 of RECA and, where applicable, to survivors of such employees.",17.310,100147884,,DOL,"LABOR, DEPARTMENT OF",OFFICE OF WORKERS COMPENSATION PROGRAM
Coal Mine Workers' Compensation,"To provide benefits to coal miners who have become totally disabled due to coal workers' pneumoconiosis (CWP), and to the surviving spouse and other surviving dependents of miners who have died of this disease.",17.307,100147884,,DOL,"LABOR, DEPARTMENT OF",OFFICE OF WORKERS COMPENSATION PROGRAM
Unemployment Insurance,"To implement and oversee unemployment insurance programs for eligible workers through federal and state cooperation; including unemployment compensation for federal employees or ex-service members, Disaster Unemployment Assistance, and to assist in the oversight of Trade Adjustment Assistance and Alternative Trade Adjustment Assistance, Reemployment Trade Adjustment Assistance programs, and temporary UI programs enacted in times of economic shocks or downturns.",17.225,100084157,,DOL,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION
Work Opportunity Tax Credit Program (WOTC) ,This federal tax credit was designed to help individuals from certain targeted groups who consistently face significant barriers to employment move from economic dependency to self-sufficiency. Businesses are encouraged to hire targeted group members in order to claim the tax credit against wages paid to eligible new hire(s) during their first year of employment. WOTC joins other workforce programs that incentivize workplace diversity and facilitate access to good jobs for American workers.,17.271,100084157,"The Work Opportunity Tax Credit (WOTC) is a federal tax credit available to employers who invest in American job seekers who have consistently faced barriers to employment.  Employers are encouraged to meet their business needs and claim the tax credit if they hire an individual who is an eligible WOTC targeted group member.  Employers must apply for and receive a certification from their State Workforce Agency verifying the new hire is a member of a targeted group before they can claim the tax credit.  After the required certification is secured, taxable employers claim the work opportunity credit as a general business credit against their income taxes, and tax-exempt employers claim the credit against their payroll taxes.",DOL,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION
AmeriCorps Volunteers In Service to America 94.013,"AmeriCorps VISTA is the national service program of AmeriCorps designed specifically to fight poverty. VISTA supports efforts to alleviate poverty by engaging individuals, 18 years and older, from all walks of life, in a year of full-time service with a sponsoring organization (sponsor) to create or expand programs designed to bring individuals and communities out of poverty.",94.013,19,J - Provision of Specialized Services,CNCS,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE
"Internships, Training and Workshops for the Office of Air and Radiation","To provide, Internships, Training, Workshops, and Technical Monitoring in support of the Clean Air Act. These activities aim to: (1) support the development of career-oriented personnel qualified to work in occupations involving environmental protection and air pollution abatement and control; (2) provide technical training for state, local, territorial, and Indian Tribal environmental control agencies; (3) enhance the capability of state, tribal, and local agencies responsible for environmental pollution control or other agencies with similar pollution control responsibilities; (4) provide educational renewal for career oriented personnel to achieve additional knowledge through academic professional training; (5) provide students in science, engineering, and other relevant fields with education and training opportunities to enhance their understanding of air quality-related topics; and 6) to increase the quality and number of people into the environmental control field. Projects should also focus on addressing environmental justice (EJ) concerns in communities. EJ is the fair treatment and meaningful involvement of all people regardless of race, color, national origin, or income with respect to the development, implementation, and enforcement of environmental laws, regulations, and policies. 

Funding Priority - Fiscal Year 2023: (1) The Tribal Training Support for the Community and Tribal Air Quality Programs grant supports EPA’s efforts to encourage and facilitate involvement of tribal partner governments in implementing ambient air quality programs under the Clean Air Act in Indian country, through the provision of training and technical support. The training and technical support will promote the capacity of tribes to successfully implement efficient and effective air quality management programs. (2) The American Indian Air Quality Training Program provides workshop training, internships and technical support to tribal governments to investigate, develop and establish air quality management programs for lands under their jurisdiction. The Tribal Air Monitoring Support Center is a component of this program and provides a full spectrum of technical support to tribes undertaking air quality monitoring and related activities. (3) The Student Program for Environmental Excellence in Design (SPEED) program provides graduate-level students and senior-level undergraduate opportunities to collaborate with EPA and increase their awareness and understanding of the environmental benefits associated with increased fuel efficiency, reduced carbon intensity in transportation fuels, and reduced emissions in advanced vehicles.",66.037,100081847,"This program offers and implements capacity building and education opportunities such as, Internships, Training, Workshops, and Technical Monitoring, in order to help individuals and organizations understand causes, effects, extent, prevention, and control of air pollution in support of the Clean Air Act.",EPA,ENVIRONMENTAL PROTECTION AGENCY,
Prices and Cost of Living Data,"To provide, analyze, and publish statistical data for assisting in the evaluation of consumer, producer, export and import prices and price changes, and consumer expenditures.",17.003,100116370,,DOL,"LABOR, DEPARTMENT OF",BUREAU OF LABOR STATISTICS
Meat and Poultry Processing Expansion Program,USDA is making grant funding available to meat and poultry processors for start-up and expansion.  The objective is to provide more and better processing options to producers as soon as possible.,10.381,100076307,"Eligible applicants for the MPPEP grants include an individual, sole proprietor business or other business entities (regardless of legal structure) engaged or proposing to engage in meat and poultry processing, including federally recognized Tribes and tribal entities, for-profit entities, non-profit entities, and State or local government entities. Applicants must engage or propose to engage in slaughter and/or further processing with plans to operate under USDA, tribal or state-equivalent inspection. Private entities must be independently owned and operated, and all entities must be domestically owned.",USDA,"AGRICULTURE, DEPARTMENT OF",RURAL BUSINESS COOPERATIVE SERVICE
Agricultural and Food Policy Research Centers,"To conduct research and education programs that are objective, operationally independent, and external to the Federal Government and that concern the effect of public policies and trade agreements on: 
(1) the farm and agricultural sectors (including commodities, livestock, dairy, and specialty crops);
(2) the environment;
(3) rural families, households, and economies; and
(4) consumers, food, and nutrition.
",10.291,100114040,,USDA,"AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF ECONOMIST"
Food Loss and Waste Reduction,To conduct research and related activities that support USDA’s strategy to reduce food loss and waste.  These activities may include the development of educational materials; the conduct of workshops and courses; or the conduct of research on best practices with respect to food loss and waste reduction and food recovery.,10.292,100114040,,USDA,"AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF ECONOMIST"
"WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants","The WIOA Adult, Dislocated Worker and Youth Outlying Areas Consolidated Grants, Title I, implement the Workforce Innovation and Opportunity Act legislation, allowing the Department to reform and modernize our nation's workforce development system.  As allowed by the Consolidated Appropriations Act, 2023, the outlying areas that are applying to receive funding through a consolidated grant agreement, may use WIOA Title I funds interchangeably between programs.   The program serves individuals and helps employers meet their workforce needs.  It promotes job quality by providing them with job search assistance and training opportunities, enhancing their skills to meet labor market needs.  The program serves the outlying areas (US territories): American Samoa, Guam, Commonwealth of the Northern Mariana Islands, the Republic of Palau, and the United States Virgin Islands.  The program's success is measured by the following  core indicators of performance: 1. Employment Rate - 2nd Quarter After Exit; 2. Employment Rate - 4th Quarter After Exit; 3. Median Earnings -  2nd Quarter After Exit; 4. Measurable Skill Gains; 5. Credential Attainment Rate.",17.290,100084157,,DOL,"LABOR, DEPARTMENT OF",EMPLOYMENT AND TRAINING ADMINISTRATION
Community Food Projects,"The CFPCGP is intended to bring together stakeholders from distinct parts of the food system 
and to foster understanding of national food security trends and how they might improve local 
food systems. Understanding that low-income individuals experience disproportionate access to 
healthy foods, projects are to address food and nutrition insecurity, particularly among our 
nation’s most vulnerable populations. Nutrition Security is defined as having consistent access, 
availability, and affordability of foods and beverages that promote well-being. Communities that 
are partially or fully located in Opportunity Zones are particularly encouraged to apply.",10.225,100181287,"The primary goals of the Community Food Projects Competitive Grant Program (CFPCGP), 
Assistance Listing 10.225 are as follows (7 U.S.C. 2034(b)): 
a. Meet the food needs of low-income individuals through food distribution, community 
outreach to assist in participation in Federally assisted nutrition programs, or 
improving access to food as part of a comprehensive service; 
b. Increase the self-reliance of communities in providing for the food needs of the 
communities; and
c. Promote comprehensive responses to local food access, farm, and nutrition issues; or 
d. Meet specific state, tribal, local or neighborhood food and agricultural needs 
including needs relating to: 
i. Equipment necessary for the efficient operation of a project; planning for longterm solutions; or
ii. The creation of innovative marketing activities that mutually benefit agricultural 
producers and low-income consumers.",USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Small Business Innovation Research (SBIR) Program / Small Business Technology Transfer (STTR) Program,"The SBIR/STTR programs are congressionally mandated and intended to support scientific excellence and technological innovation through the investment of federal research funds to build a strong national economy by stimulating technological innovation in the private sector; strengthening the role of small business in meeting federal research and development needs; increasing the commercial application of federally supported research results; and fostering and encouraging participation by socially and economically disadvantaged and women-owned small businesses. Further, the objective of the STTR program is to stimulate formal cooperative partnerships of ideas and technologies between small businesses and nonprofit research institutions (e.g., Universities, Federal Laboratories).",10.212,100181287,"The aim of a Phase I project should be to demonstrate technical feasibility of the proposed innovation and thereby bring the innovation closer to commercialization. Proposals should describe the development of an innovation that demonstrates the following characteristics:
1. Involves a high degree of technical risk – for example, has never been attempted and/or successfully achieved and, is still facing technical hurdles (that the USDA-funded R&D work is intended to overcome).
2. Has the potential for significant commercial impact and/or societal benefit, as evidenced by having the potential to disrupt the targeted market segment; having good product- market fit (as validated by customers); removing barriers to entry for competition; offering potential for societal benefit (through commercialization under a sustainable business model).
3. Phase I awards may not exceed the listed maximum award amount for each Program Code for a period normally not to exceed eight (8) months for SBIR and twelve (12) months for STTR.
4. The Phase I application should concentrate on research that will significantly contribute to proving the scientific or technical feasibility of the approach or concept, describe the potential market for the innovation and will be a prerequisite to further USDA SBIR/STTR support in Phase II. The USDA Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) programs focus on transforming scientific discovery into products and services with commercial potential and/or societal benefit. Unlike fundamental research, the USDA SBIR/STTR programs support small businesses in the creation of innovative, and/or disruptive technologies and enable the application of research advancements from conception into the market. The STTR program aims to foster technology transfer through formal cooperative research and development (R&D) between small businesses and nonprofit research institutions.
Different from most other investors, the USDA SBIR/STTR programs fund early or ""seed"" stage research and development that has a commercial potential. The programs provide equity-free funding and entrepreneurial support at the earliest stages of company and technology development.
Key differences between USDA’s SBIR and STTR programs include the percentage of research conducted by nonprofit research institutions (e.g., universities and Federal laboratories) and the primary employment of the project’s project director/principal investigator (PD/PI). STTR applications require a formal cooperative agreement detailing the allocation of intellectual property rights to carry out follow-on research, development, or commercialization activities.
NIFA requests applications for the Phase II SBIR/STTR programs for fiscal year (FY) 2023 from previous SBIR/STTR program Phase I awardees.",USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Hispanic Serving Institutions Education Grants,"The objective of this program is to promote and strengthen the ability of Hispanic-Serving Institutions to carry out higher education programs in the food and agricultural sciences.  These programs aim to attract outstanding students and produce graduates capable of enhancing the Nation's food and agricultural scientific and professional work force.  Grants under this program will be awarded to:  

(1)  support the activities of consortia of Hispanic-Serving Institutions to enhance educational equity for underrepresented students;  

(2)  strengthen institutional educational capacities including libraries, curriculum, faculty, scientific instrumentation, instruction delivery systems, and student recruitment and retention, in order to respond to identified State, regional, national, or international educational needs in the food and agricultural sciences; 

(3)  attract and support undergraduate and graduate students from underrepresented groups in order to prepare them for careers related to the food, agricultural, and natural resource systems of the United States, beginning with the mentoring of students at the high school level and continuing with the provision of financial support for students through their attainment of a doctoral degree; and 

(4) facilitate cooperative initiatives between two or more Hispanic-Serving Institutions, or between Hispanic-Serving Institutions and units of State government or the private sector, to maximize the development and use of resources, such as faculty, facilities, and equipment, to improve food and agricultural sciences teaching programs.",10.223,100181287,,USDA,"AGRICULTURE, DEPARTMENT OF",NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
Technical Assistance to Cooperatives,"To develop and administer research, technical assistance, statistical, and educational programs on finances, organization, management, legal, social, and economic aspects of rural cooperatives, focusing on farmer cooperatives.",10.350,100076307,"To provide non-monetary assistance and services include facilitating strategic planning, board of director training, member surveys, and feasibility analysis. Services are limited to rural residents, including groups interested in forming cooperatives as well as established cooperative",USDA,"AGRICULTURE, DEPARTMENT OF",RURAL BUSINESS COOPERATIVE SERVICE
Agricultural Market and Economic Research,"To conduct cooperative economic research and analyses in support of the Office of the Chief Economist's responsibility to advise the Secretary of Agriculture on the economic implications of Department policies, programs, and proposed legislation. These research projects and analyses cover the nation's agricultural commodity markets; risk analyses and cost-benefit analyses related to international food and agriculture; sustainable development; energy issues related to the agricultural economy; agricultural labor; global climate change; and any other topics that support the Department's consideration or review of policies and programs.",10.290,100114040,,USDA,"AGRICULTURE, DEPARTMENT OF","USDA, OFFICE OF THE CHIEF ECONOMIST"
Cooperative Agreements with States for Intrastate Meat and Poultry Inspection,"To supply Federal assistance to States desiring to operate a meat and poultry inspection program in order to assure the consumer an adequate supply of safe, wholesome, and properly labeled meat and poultry products.",10.475,100006810,,USDA,"AGRICULTURE, DEPARTMENT OF",FOOD SAFETY AND INSPECTION SERVICE
Manufactured Home Dispute Resolution,"Administers the National Manufactured Housing Construction and Safety Standards Act of 1974 (the Act) which authorizes HUD to establish federal standards for the design and construction of manufactured homes to assure quality, durability, safety, and affordability.",14.171,100041419,,HUD,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASST SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER
Farm Ownership Loans and Loan Guarantees,"To assist farmers and ranchers become owner-operators of family farms, improve and expand current operations, increase agricultural productivity, and assist with land tenure to save farmland for future generations.",10.407,100076826,,USDA,"AGRICULTURE, DEPARTMENT OF",FARM SERVICE AGENCY
Youth Homelessness Demonstration Program,"The Youth Homeless Demonstration Program covers includes three areas of funding:

Youth Homelessness Demonstration Program (YHDP): Congress appropriates these funds for communities to demonstrate how a comprehensive approach to serving homeless youth, age 24 and under can dramatically reduce youth homelessness, which HUD awards through a competitive process.  HUD awarded YHDP funds to 33 communities in FY 2022 and anticipates awarding funds to 17 communities in FY 2023 and up to 25 communities in FY 2024.

Youth Homeless System Improvement Grants: Congress appropriated $25 million in both FY 2023 and FY 2024 for grants to support communities in establishing and implementing a response system for youth homelessness, or for improving their existing system.  These grants can go to current, future, or past YHDP communities as well as other eligible recipients.  

Technical Assistance (TA): HUD awards approximately $10 million in TA funds, through a competitive process, to firms that assist communities on improving system responses to youth homelessness, and collection, analysis, use, and reporting of data and performance measures under the comprehensive approaches to serve homeless youth.",14.276,100037358,"The goal of the Youth Homeless Demonstration Program (YHDP) is to support selected communities in the development and implementation of a coordinated community approach to preventing and ending youth homelessness. This community planning approach supports the foundations outlined in All In and will guide communities in designing solutions that match the needs in their community, and sharing that experience with and mobilizing communities around the country toward the same end. The population to be served by this demonstration program is youth experiencing homelessness, aged 24 and under, including unaccompanied youth and pregnant or parenting youth who are experiencing homelessness. The demonstration has seven primary objectives:
 Prevent and End Youth Homelessness. 
 Build national momentum. 
 Promote equity in the delivery and outcomes of homeless assistance. 
 Highlight the importance of youth leadership. 
 Evaluate the coordinated community approach.
 Expand capacity. 
 Evaluate performance measures. 
 Establish a framework for Federal program and Technical Assistance (TA) provider collaboration.",HUD,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT
Women's Bureau,"The Women’s Bureau was created by law in 1920 to formulate standards and policies to promote the welfare of wage-earning women, improve their working conditions, increase their efficiency, and advance their opportunities for profitable employment. The Women’s Bureau establishes and maintains linkage with national, community and faith-based organizations, business and industry, trade unions, research foundations, academic, and Federal, State, and local government agencies in an effort to develop cooperative projects that address the employment and supportive service needs of women.",17.700,100116100,"The Women’s Bureau provides information and technical 
assistance on issues of significance to women in all phases of their work life.  This information includes, but is not limited to employment rights and benefits, research, referral information, and statistics on women in the workforce.  The Women's Bureau does not provide financial assistance to individuals.",DOL,"LABOR, DEPARTMENT OF",WOMEN'S BUREAU
"Pandemic Relief Activities: Local Food Purchase Agreements with States, Tribes, and Local Governments","1.	Provide an opportunity for State, Local and Tribal governments to strengthen their local and regional food system. 
2.	Help to support local and socially disadvantaged producers through building and expanding economic opportunities.  
3.	Establish and broaden partnerships with producers and the food distribution community to ensure distribution of fresh and nutritious foods in underserved communities.",10.182,100077316,"The Agricultural Marketing Service (AMS) will establish cooperative agreements with State, Local and Tribal governments for the purpose of purchasing food from local, regional and socially disadvantaged producers.   The food will be distributed targeting underserved communities.",USDA,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE
Wetlands Reserve Program,"To assist landowners in restoring and protecting wetlands on eligible lands on which they agree to enter into a permanent or 30-year long-term easement (30-year contract for Indian Tribes), or a restoration cost-share agreement with the Secretary. The purpose of WRP is to maximize wetland functions and values and wildlife benefits on every acre enrolled in the program.",10.072,100093803,,USDA,"AGRICULTURE, DEPARTMENT OF",NATURAL RESOURCES CONSERVATION SERVICE
Urban Agriculture and Innovative Production,"To encourage and promote urban, indoor, and other emerging agricultural practices, including— (A) community gardens and farms located in urban areas, suburbs, and urban clusters; (B) rooftop farms, outdoor vertical production, and green walls; (C) indoor farms, greenhouses, and high-tech vertical technology farms; (D) hydroponic, aeroponic, and aquaponic farm facilities; and (E) other innovations in agricultural production, as determined by the Secretary; and to encourage local or municipal governments to develop and test strategies for planning and implementing municipal compost plans and food waste reduction plans.",10.935,100093803,"Assistance is in the form of grants and cooperative agreements.  



Urban Agriculture and Innovation Production (UAIP) competitive grants initiate or expand efforts of farmers, gardeners, citizens, government officials, schools, and other stakeholders in urban areas and suburbs. Grants support projects designed to improve access to local foods in areas where access to fresh, healthy food is limited or unavailable through urban and/or innovative agricultural 
practices, including, but not limited to, community gardens, urban farms, rooftop farms, urban agroforest, food forests, orchards, outdoor vertical production, green walls, indoor farms, greenhouses, high-tech vertical technology farms, and hydroponic, aeroponic, and aquaponic farm facilities.  Projects may target areas of food access; education; business and start-up costs for new farmers; and development of policies related to zoning and other needs of urban production. In Fiscal Year 2023, USDA invested $9.1 million from annual OUAIP appropriations for new UAIP competitive grants that will support the development of urban agriculture and innovative production projects through planning and implementation grants.

Composting and Food Waste Reduction (CFWR) cooperative agreements assist local and municipal governments with projects that develop and test strategies for planning and implementing municipal compost plans and food waste reduction plans. Activities will increase access to compost for agricultural producers, improve soil quality and encourage innovative, scalable waste management plans that reduce and divert food waste from landfills. In Fiscal Year 2023, USDA is investing $9.5 million in new CFWR cooperative agreements from the American Recovery Plan Act (ARPA) rather than normal appropriations. 

People’s Garden Initiative (PGI) cooperative grants are not open to unsolicited proposals. People’s Gardens empower communities to participate in local food production and provide diversity and resiliency to the food supply chain. They also teach about the benefits of sustainable, local agriculture and how gardening can foster community collaboration, provide green gathering spaces, and benefit the environment.",USDA,"AGRICULTURE, DEPARTMENT OF",NATURAL RESOURCES CONSERVATION SERVICE
Meat and Poultry Inspection Readiness Grants – Supplemental Funding,To assist eligible meat and poultry slaughter and processing facilities with costs incurred in making improvements and carrying out other planning activities necessary to obtain a Federal “Grant of Inspection” under the Federal Meat Inspection Act (FMIA) or the Poultry Products Inspection Act (PPIA); or to operate as a State-inspected facility that is compliant with FMIA or PPIA under the respective Cooperative Interstate Shipment (CIS) program.,10.180,100077316,"The purpose of MGP is to award grants to eligible meat and poultry slaughter and processing facilities, including facilities operating under State inspection or facilities exempt from Federal inspection, to assist with costs incurred in making improvements and carrying out other planning activities necessary to obtain a Federal “Grant of Inspection” under the Federal Meat Inspection Act (FMIA) or the Poultry Products Inspection Act (PPIA); or to operate as a State-inspected facility that is compliant with FMIA or PPIA under the respective Cooperative Interstate Shipment (CIS) program.",USDA,"AGRICULTURE, DEPARTMENT OF",AGRICULTURAL MARKETING SERVICE
ACL Assistive Technology,"The 2004 amendments to the Assistive Technology Act of 1998 supports State efforts to improve the provision of assistive technology to individuals with disabilities through comprehensive statewide programs of technology-related assistance, for individuals with disabilities of all ages.

",93.464,100525875,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR COMMUNITY LIVING (ACL)
"Special Programs for the Aging, Title VII, Chapter 2, Long Term Care Ombudsman Services for Older Individuals",The principal role of this Ombudsman Program is to investigate and resolve complaints made by or on behalf of residents of nursing homes or other long-term care facilities. Ombudsmen also promote policies and practices needed to improve the quality of care and life in long-term care facilities and educate both consumers and providers about residents' rights and good care practices. ,93.042,100525875,,HHS,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",ADMINISTRATION FOR COMMUNITY LIVING (ACL)
